Community,No_Nodes
147,45
305,48
964,374
1251,441
1386,49
1655,23
1848,3
1853,29
2081,50
2172,24
2245,38
2266,135
2338,67
2786,674
2854,52
2935,195
3118,774
3633,399
3659,117
3678,101
3685,11
3748,120
3771,30
3806,123
3852,1
3964,6
3969,35
3997,195
4028,63
4146,10
4150,6
4239,70
4256,11
4277,62
4355,6
4362,14
4366,26
4374,20
4444,2
4459,21
4471,15
4548,20
4556,1
4643,1
4650,8
4653,3
4741,1
4750,4
4758,33
4826,333
4846,9
4853,4
4877,27
4882,20
4948,8
4961,11
4963,13
4967,12
4972,25
4991,81
5039,60
5047,12
5100,28
5152,7
5159,20
5163,14
5255,9
5268,10
5334,11
5349,22
5367,1
5375,1
5395,38
5421,1
5437,19
5441,9
5451,12
5455,6
5553,8
5560,28
5566,8
5569,37
5575,28
5639,8
5643,4
5646,2
5648,1
5687,117
5737,27
5744,24
5772,5
5855,14
5857,11
5862,6
5967,19
5999,11
6015,169
6050,38
6059,10
6072,6
6073,48
6138,26
6162,20
6165,25
6252,1
6345,36
6371,23
6375,36
6385,31
6396,64
6457,18
6565,11
6570,8
6634,148
6658,6
6673,6
6747,33
6753,60
6761,7
6762,1
6763,2
6795,30
6977,65
7005,222
7026,133
7071,5
7085,89
7159,27
7164,21
7240,177
7255,22
7267,63
7271,3
7319,15
7375,3
7460,4
7479,6
7490,128
7625,6
7646,2
7662,14
7722,7
7724,31
7730,28
7768,25
7774,32
7935,5
7985,38
8027,12
8054,141
8073,2
8169,31
8242,52
8374,2
8380,56
8389,113
8475,25
8502,543
8561,70
8572,15
8734,63
8774,3
8834,176
8844,16
8854,1
8975,6
9080,10
9096,212
9120,168
9150,32
9368,369
9484,21
9747,77
9884,13
