Community1,Community2,Nodes
147,147,7
305,305,45
964,964,358
964,1386,1
964,2935,1
964,3633,1
964,4650,1
1251,147,63
1251,964,22
1251,1251,352
1251,1655,13
1251,1848,11
1251,1853,33
1251,2245,5
1251,2255,1
1251,2266,18
1251,2338,2
1251,2854,47
1251,2935,20
1251,3633,17
1251,3659,6
1251,3748,31
1251,4239,1
1251,4459,1
1251,4826,1
1251,4948,27
1251,6634,5
1251,7240,3
1387,1386,24
1655,1655,19
2245,2245,36
2245,2338,1
2245,3659,6
2266,2266,113
2338,2338,37
2756,2854,1
2786,964,3
2786,1386,73
2786,2081,75
2786,2173,32
2786,2266,1
2786,2786,517
2786,3380,47
2786,3678,45
2786,3685,25
2786,3964,5
2786,3997,100
2786,4277,1
2786,4948,1
2786,4991,3
2786,5437,1
2786,5569,1
2786,7724,15
2935,2935,2
2954,2854,19
3118,305,12
3118,1251,1
3118,2405,176
3118,2935,3
3118,3118,556
3118,3423,3
3118,3633,12
3118,3748,4
3118,3806,13
3118,4028,3
3118,4826,33
3118,6634,1
3118,8502,2
3255,3659,13
3633,2338,2
3633,2733,2
3633,2935,155
3633,3633,362
3633,3748,2
3633,4028,2
3633,4826,1
3633,7240,1
3659,3659,84
3685,3685,4
3685,4277,1
3748,2854,1
3748,3659,9
3748,3748,118
3748,3852,1
3771,3678,5
3771,3771,31
3771,3969,1
3780,3678,51
3852,3659,1
3964,3964,6
3969,3969,32
4028,4028,59
4098,3997,58
4098,5395,29
4146,4146,10
4150,4150,5
4150,4355,1
4239,4239,66
4256,3659,1
4256,4256,11
4277,3685,1
4277,4277,57
4277,4877,2
4277,4991,1
4355,4355,6
4362,4362,14
4366,4366,27
4374,4374,19
4444,4444,1
4459,4459,21
4471,4471,15
4505,3806,119
4548,4548,22
4556,4556,1
4643,4643,2
4650,4650,8
4653,4653,3
4750,4750,4
4758,4650,1
4758,4758,23
4758,4855,8
4758,4961,1
4826,3806,1
4826,4028,5
4826,4826,276
4826,5039,4
4826,5437,1
4826,5737,11
4826,6015,11
4826,6634,1
4826,7026,2
4846,4846,9
4853,4853,4
4877,4877,20
4883,4882,19
4883,4991,1
4948,4948,7
4961,4961,10
4963,4963,15
4963,7005,29
4967,4967,12
4972,4972,28
4991,4991,80
4991,5395,6
5039,5039,60
5047,5039,2
5047,5047,10
5100,5399,16
5152,4853,1
5152,5152,6
5159,4758,1
5159,5159,20
5163,5163,11
5255,5255,9
5268,5268,12
5334,5039,1
5334,5334,11
5349,5349,22
5437,5437,17
5441,5039,3
5441,5441,6
5451,5451,12
5455,5455,6
5553,5553,8
5560,5560,28
5566,5566,8
5569,5268,3
5569,5569,33
5575,5575,30
5594,5395,37
5594,5399,12
5639,5639,8
5643,5643,4
5646,5646,2
5648,5648,1
5687,5687,116
5687,6073,1
5737,5737,19
5737,7026,1
5744,5744,24
5772,5772,5
5855,5855,14
5855,6050,1
5857,5857,11
5862,5862,6
5967,5967,19
6015,6015,175
6015,7005,67
6015,7026,1
6050,6050,34
6059,6059,10
6072,6072,6
6072,6371,1
6073,6073,48
6138,6138,26
6148,6148,1
6162,6162,20
6165,6165,25
6199,5999,11
6250,6250,1
6252,6252,1
6345,6345,38
6371,6371,7
6375,6375,36
6375,7085,1
6386,6385,30
6396,5395,1
6396,6385,1
6396,6396,64
6396,6795,30
6396,7490,3
6457,6457,18
6509,7005,70
6565,6565,11
6570,6371,15
6570,6570,9
6570,6673,2
6570,6771,1
6570,7267,3
6634,2854,2
6634,6634,144
6634,7026,12
6634,7240,1
6658,6658,6
6673,6673,4
6747,6345,1
6747,6747,31
6747,7240,2
6753,6753,60
6761,6761,6
6761,7159,1
6762,6762,1
6763,6763,2
6869,7267,1
6977,6977,68
6977,7085,2
6977,7271,2
6977,7479,1
7071,7071,5
7085,7085,86
7105,7005,22
7159,7159,27
7164,7164,20
7164,7267,1
7240,7240,163
7240,7647,1
7240,7730,2
7255,7255,23
7267,6565,2
7267,7267,53
7319,7319,15
7326,7026,89
7326,7527,1
7375,7375,3
7460,7159,2
7460,7460,2
7471,7267,2
7479,7479,3
7491,7490,119
7491,7989,2
7491,9096,2
7625,7625,6
7646,7240,1
7646,7646,2
7662,7662,14
7722,7722,7
7724,7724,27
7730,7730,27
7768,7768,25
7774,7267,1
7774,7774,31
7935,7240,2
7935,7935,8
7985,7985,38
8027,8027,11
8054,8054,136
8073,8073,2
8169,8169,33
8242,8242,52
8374,8374,2
8380,8380,56
8389,7490,1
8389,7985,4
8389,7989,49
8389,8287,3
8389,8380,3
8389,8389,34
8389,9080,1
8389,9085,11
8389,9096,1
8441,8734,1
8475,8475,25
8502,4972,1
8502,7005,28
8502,7026,30
8502,7319,2
8502,7724,7
8502,7730,1
8502,8027,2
8502,8502,527
8502,9120,57
8561,8561,73
8572,8572,14
8734,8242,1
8734,8734,63
8734,8844,15
8774,8774,2
8834,7935,1
8834,8027,1
8834,8734,6
8834,8834,156
8834,9120,7
8834,9747,10
8854,8054,1
8975,8975,7
9046,8844,1
9057,9368,20
9080,8380,1
9080,9080,16
9096,7989,2
9096,9096,215
9096,9884,1
9150,8054,2
9150,8854,1
9150,9057,1
9150,9150,33
9150,9368,1
9221,9120,102
9352,9368,17
9352,9747,2
9368,8572,1
9368,8774,2
9368,8975,1
9368,9368,310
9368,9484,1
9368,9977,2
9484,9484,21
9724,9120,6
9747,9747,79
9884,9884,12
